TrpNum;[LIVE GALLEYS] Delivery Area;Gen Instructions;Spc Instructions
001000;MT WASHINGTON GREENTREE;MT. WASHINGTON - WEST END - GREENTREE - CRAFTON - CARNEGIE;ROBINSON
001100;MT WASHINGTON;MT. WASHINGTON;
005000;BUTLER RELAY - TONY WRIGHT;RELAY TO TONY WRIGHT AT COGO'SRT 8 & DENNY RD;NORTH ZONE
005010;BUTLER RELAY EDWARD MARTIN;RELAY TO EDWARD MARTIN RT 8 & DENNY RD - CO GO'S;
005050;BUTLER RELAY DISTRICT 655;BARTON RT 8 & DENNY RD;"VALENCIA, PA 16049"
005100;BUTLER;LARRY WYANT RELAY AT TRADER HORN - RT 8;PAST CONLEY'S MOTEL ON RIGHT NORTH ZONE
005150;AMANDA NEALER;AMANDA NEALER DISTRICT 653;
005900;ETNA - ALLISON PARK;ETNA - SHALER - HAMPTON ALLISON PARK;
007000;DOWNTOWN CARRIERS;DISTRIBUTION CENTER #02 282 CORLISS ST.;"PITTSBURGH, PA 15204"
007200;CORLISS;DISTRIBUTION CENTER #2 282 CORLISS ST;"PITTSBURGH, PA 15204"
007400;PETERSON CENTER;DISTRIBUTION CENTER #2 262 CORLISS ST.;"PITTSBURGH, PA 15204"
009000;DONORA - BELLE VERNON;DONORA - MON CITY BELLE VERNON;**PG DRIVER DELIVERS**
009100;BRANCH #2;BRANCH #2 SINGLE COPY;DONORA SOUTH ZONE
015000;SEWICKLEY - AMBRIDGE;SEWICKLEY - AMBRIDGE NEW BRIGHTON - ELLWOOD CITY;
015100;SEWICKLEY - AMBRIDGE;SEWICKLEY - AMBRIDGE ROCHESTER;
016000;UPPER ST CLAIR PETERS TWP;UPPER ST CLAIR - PETERS CANONSBURG;
019000;NORTHSIDE;NORTHSIDE;
028000;OAKMONT - VERONA;OAKMONT - VERONA - TARENTUM FREEPORT;
028100;OAKMONT - VERONA;OAKMONT - VERONA - TARENTUM NEW KENSINGTON - FREEPORT;
028200;E. VANDERGRIFT;EVIE JO WALKER - 1/4 MI PAST STANFORD LUMBER TO STORAGE;GARAGE A7
029000;HOPEWELL - ALIQUIPPA;MOON - HOPEWELL - ALIQUIPPA - MIDLAND;
029200;AIRPORT;AIRPORT-GENCO BAGGAGE ACROSS FROM BAGGAGE CLAIM B-TWO GREEN;DUMPSTERS ON DOCK
037000;SOUTH SIDE - MT WASHINGTON;SOUTH SIDE - MT WASHINGTON;
038000;HOMESTEAD - DUQUESNE;HOMESTEAD - WEST MIFFLIN DUQUESNE;
038100;HOMESTEAD;HOMESTEAD;
045000;BROOKLINE - MT LEBANON;BROOKLINE - CASTLE SHANNON MT LEBANON;SHORTAGES
045200;SHORTAGES;DAILY SHORTAGE TRUCK;
045300;SHORTAGES;DAILY SHORTAGE TRUCK;
048000;LAWRENCEVILLE - MORNINGSIDE;LAWRENCEVILLE - BLOOMFIELD MORNINGSIDE;
049000;CARNEGIE - BRIDGEVILLE;CARNEGIE - BRIDGEVILLE;
062000;WEST END - NEVILLE ISLAND;WEST END - MCKEES ROCKS CORAOPOLIS - NEVILLE ISLAND;
068000;DOWNTOWN;DOWNTOWN;
075000;DOWNTOWN;DOWNTOWN - PLUS GREYHOUND POST OFFICE;DRIVER ALSO DELIVERS KEY 019 NORTHSIDE
075100;WRAP;GREYHOUND BUS TERMINAL 55 11TH ST;DELIVER TO PACKAGE EXPRESS NEXT TO GATE #14
076000;NORTH HILLS - WEXFORD;NORTH HILLS - WEXFORD CRANBERRY;
079000;ROSS - FRANKLIN PARK;ROSS - WEST VIEW FRANKLIN PARK;
107000;MURRYSVILLE - TRAFFORD;NEW ALEXANDRIA - MONROEVILLE MURRYSVILLE - EXPORT - DELMONT;
107100;QUIK STOP CONV NEW ALEXANDRIA;DO NOT LEAVE PAPERS IN FRONT OF THE DOORS. RT 22 & 981;"NEW ALEXANDRIA, PA 15670"
109000;GLASSPORT - ELIZABETH;GLASSPORT - MCKEESPORT ELIZABETH - DRAVOSBURG;
111000;BRANCH #1 LEETSDALE;BRANCH #1 LEETSDALE;
112000;TARENTUM - WEST DEER;TARENTUM - WEST DEER - SPRINTDALE;**PG DRIVER DELIVERS**
112200;BRANCH #5;BRANCH #5 TARENTUM;SINGLE COPY EAST ZONE
112300;BRANCH #5;BRANCH #5 NEW KENSINGTON;NORTH ZONE
114000;FOREST HILLS - PLUM;FOREST HILLS - PENN HILLS PLUM;SHORTAGES
114100;SHORTAGES;SHORTAGES - NORTH;
122000;PLEASANT HILLS - WEST MIFFLIN;PLEASANT HILLS - CLAIRTON WEST MIFFLIN;
139000;WILKINSBURG - PITCAIRN;WILKINSBURG - SWISSVALE BRADDOCK - TURTLE CREEK;PITCAIRN
140000;HILL DISTRICT OAKLAND;HILL DISTRICT OAKLAND;
162000;GREENSBURG - IRWIN;COROB DISTRICT 377;RELAY AT SHEETZ RT 30
162100;GREENSBURG - IRWIN;DAVE COROB DISTRICT 424;RELAY AT SHEETZ - RT 30
162300;GREENSBURG - IRWIN;KINTIGH DIST 355 ECKERD DRUG;NEXT TO CLOSED FOOR FOR LESS
162400;GREENSBURG - IRWIN;DOROTHEA LINT DISTRICT 398;
162500;GREENSBURG - IRWIN;SUSAN KINTIGH DISTRICT 435;RELAY AT SAMS CLUB GAS STA 724-838-0197
162600;NORTH VERSAILLES - IRWIN;NORTH VERSAILLES - IRWIN - GREENSBURG;DRIVER DELIVERS THESE DROPS
167000;MIDTOWN - DOWNTOWN;MIDTOWN - DOWNTOWN;RON STEVENS
333000;BRANCH #3 BUTLER;BRANCH #3 SINGLE COPY;
333100;BRANCH #3 DENISE SANTA;DRIVER DELIVERS THIS DROP TO BUTLER MART;BRANCH #3 HOME DELIVERY
333150;BUTLER MART;RAMONA THORNTON BUTLER MART;RITE AID - SEPARATE BUNDLES
333200;GREG HEATH;DRIVER DELIVERS THIS DROP TO BUTLER MART;BRANCH #3 HOME DELIVERY
333300;RAY MCDONALD;DRIVER DELIVERS THIS DROP TO BUTLER MART;BRANCH #3 HOME DELIVERY
333390;DAVID MCKAIM;DRIVER DELIVERS THIS DROP TO BUTLER MART;DIST 9418
333400;DOUG REGES;DRIVER DELIVERS THIS DROP TO BUTLER MART;BRANCH #3 HOME DELIVERY
333450;RAY MCDONALD JR;DRIVER DELIVERS THIS DROP TO BUTLER MART;BRANCH #3 HOME DELIVERY PA
333500;RAY MCDONALD III;DRIVER DELIVERS THIS DROP TO BUTLER MART;BRANCH #3 HOME DELIVERY
333550;DICKISON;DRIVER DELIVERS THIS DROP TO BUTLER MART;JEANNE DICKISON
333560;GARVIN;DRIVER DELIVERS THIS DROP TO BUTLER MART;CHERYL GARVIN
333570;SOSTER;301 E BRADY ST BUTLER PA 16001;IN FRONT OF BARBER SHOP
333585;WEIDENHOF;BUTLER SARAH WEIDENHOF;724.602.3801
333590;WEIDENHOF;BUTLER DIST 9420;
333600;MARS;MARS - EVANS CITY ZELIENOPLE;POST-GAZETTE DRIVER DELIVERS THIS GALLEY
399000;KEYROOM;DEADHEADS / OVERRUN;
444000;BRANCH #4 SOUTHPOINTE;BRANCH #4 SOUTHPOINTE;
501000;LEETSDALE+KEY111;DISTRIBUTION CENTER #01 2301 DUSS AVE BLDG #11;"AMBRIDGE, PA 15003 DISTRICT 1000 - WEST EDITION"
501100;AMBRIDGE;DISTRIBUTION CENTER #01 2301 DUSS AVE BLDG #11;"AMBRIDGE, PA 15003 DISTRICT 1040 & 4150 - NORTH"
502000;CORLISS+KEY007;DISTRIBUTION CENTER #02 282 CORLISS ST;"PITTSBURGH, PA 15204 DISTRICT 1100 - WEST ZONE"
502100;CORLISS;DISTRIBUTION CENTER #02 282 CORLISS ST;WEST END PA 15204 (RT 1150-WEST EDITION)
502200;CORLISS;DISTRIBUTION CENTER #02 282 CORLISS ST;WEST END PA 15204 SOUTH EDITION
502400;CORLISS;DISTRIBUTION CENTER #02 282 CORLISS ST;WEST END PA 15204 (ROUTE 1200)
502700;CORLISS;DISTRIBUTION CENTER #02 282 CORLISS ST;WEST END PA 15204 (COORDINATOR-WEST EDITION)
502800;CORLISS;DISTRIBUTION CENTER #02 282 CORLISS ST;"PITTSBURGH, PA 15204 DISTRICT 1850 - SOUTH"
502900;CORLISS;DISTRIBUTION CENTER #02 282 CORLISS ST;"PITTSBURGH, PA 15204 DISTRICT 1900 - SOUTH"
503000;HOPE HOLLOW;DISTRIBUTION CENTER #03 235 HOPE ST.;"CARNEGIE, PA 15106 DISTRICT 1300 - WEST ZONE"
503100;HOPE HOLLOW;DISTRIBUTION CENTER #03 235 HOPE ST.;"CARNEGIE, PA 15106 DISTRICT 4325 - SOUTH ZONE"
503200;HOPE HOLLOW;DISTRIBUTION CENTER #03 235 HOPE ST.;"CARNEGIE, PA 15106 DISTRICT 1400 - SOUTH ZONE"
503300;HOPE HOLLOW;DISTRIBUTION CENTER #03 235 HOPE ST.;"CARNEGIE, PA 15106"
